excise_tax_nbr,major,minor,sale_date,sale_month,sale_year,sale_price,year_built,year_renovated,lon,lat
2954083,507840,130,2018-09-13,9,2018,3300000,2018,0,-122.2047602,47.6243444
2950688,982920,1000,2018-08-28,8,2018,575000,1900,0,-122.2882204,47.6018792
2952680,955120,870,2018-09-06,9,2018,1195000,1949,0,-122.3376685,47.6719003
2966808,259750,920,2018-12-12,12,2018,343000,1967,0,-122.1972381,47.2850787
2948876,786130,10,2018-08-20,8,2018,419000,1987,0,-122.157417,47.423447
2968632,202504,9183,2018-12-31,12,2018,1085000,2008,0,-122.3278551,47.641271
2969169,32505,9065,2018-12-17,12,2018,671000,1982,0,-122.1506471,47.6818794
2965138,73998,230,2018-12-03,12,2018,430000,1999,0,-122.1955849,47.4094724
2929201,609600,90,2018-05-04,5,2018,850000,1928,0,-122.3468525,47.6316049
2957199,388580,8465,2018-10-05,10,2018,2390000,2005,0,-122.208675,47.6775767
2934192,249220,285,2018-06-04,6,2018,480000,1912,0,-122.3799664,47.5351683
2931218,674470,460,2018-05-14,5,2018,900000,1979,0,-122.2881599,47.7386484
2938661,24300,180,2018-06-15,6,2018,469000,1953,0,-122.3516216,47.4543969
2954955,362979,190,2018-09-25,9,2018,865000,1999,0,-122.0104149,47.54598259999999
2961502,390510,210,2018-11-06,11,2018,637000,1994,0,-122.006882,47.5691415
2931832,722550,20,2018-05-21,5,2018,465000,1938,0,-122.2060912,47.48900709999999
2926991,221170,75,2018-04-16,4,2018,1425000,1985,0,-122.1177171,47.5628094
2949701,390490,450,2018-08-23,8,2018,778000,1986,0,-122.0206361,47.5680174
2944156,926870,290,2018-07-23,7,2018,316000,1985,0,-122.3310271,47.3081438
2933379,142308,9119,2018-05-29,5,2018,725000,1990,0,-121.7443898,47.4814452
2964910,887400,20,2018-12-04,12,2018,420000,1998,0,-122.2908782,47.3560876
2912839,197380,40,2018-01-19,1,2018,730000,1961,0,-122.243477,47.7176492
2944981,246190,505,2018-07-25,7,2018,665000,1909,0,-122.3826132,47.5519106
2960367,630000,676,2018-10-23,10,2018,355000,1997,0,-122.3436355,47.70607769999999
2955869,144230,5,2018-09-28,9,2018,635000,1954,0,-122.3508671,47.7600671
2960462,303420,341,2018-10-30,10,2018,895000,1941,0,-122.3338122,47.7168964
2945388,865144,570,2018-07-13,7,2018,300000,1977,0,-122.0925046,47.36456769999999
2967325,155620,260,2018-12-13,12,2018,640000,1913,0,-122.293945,47.6073002
2964033,924190,170,2018-11-24,11,2018,1035000,1968,0,-122.3892808,47.6472545
2929925,401380,208,2018-05-03,5,2018,10,1968,0,-122.2818928,47.3230425
2960739,254070,237,2018-10-30,10,2018,1300000,1952,0,-122.2275939,47.619801
2917250,333600,1865,2018-02-27,2,2018,670000,1949,2014,-122.2641738,47.5275993
2928304,802420,1375,2018-05-02,5,2018,924950,1928,0,-122.3136681,47.6996472
2918941,302304,9224,2018-03-02,3,2018,749000,1951,1993,-122.3524448,47.44760669999999
2964693,334330,1402,2018-11-27,11,2018,1660000,1987,0,-122.1918242,47.5491321
2933744,614560,2310,2018-05-24,5,2018,875000,1966,0,-122.3534078,47.7019669
2937889,177600,120,2018-06-19,6,2018,375000,1928,0,-122.0880615,47.7498379
2957670,294600,1850,2018-10-16,10,2018,369900,1951,0,-122.3243811,47.4195971
2960547,615940,6,2018-11-01,11,2018,497900,1958,0,-122.3266874,47.7448035
2969521,201320,340,2018-12-31,12,2018,505000,1977,0,-122.3113822,47.3932107
2930427,793760,275,2018-05-14,5,2018,661000,1984,0,-122.0829078,47.4357026
2961765,856290,330,2018-11-08,11,2018,615000,1988,0,-122.0586129,47.609903
2945152,932480,285,2018-07-27,7,2018,420000,1933,0,-122.2887608,47.7309399
2921617,919120,1720,2018-03-14,3,2018,1265500,1925,2005,-122.2992865,47.6677516
2915170,169890,40,2018-02-05,2,2018,1410000,1927,0,-122.3509089,47.64115719999999
2951982,679810,1175,2018-09-04,9,2018,600000,1938,0,-122.310584,47.7169229
2958957,25980,840,2018-10-22,10,2018,675000,1965,0,-122.1157359,47.6288292
2941766,352800,230,2018-07-11,7,2018,1260000,1988,0,-122.0555463,47.6673749
2965499,405940,30,2018-12-04,12,2018,400000,1944,0,-122.241074,47.500554
2943803,433760,270,2018-07-23,7,2018,507750,1943,0,-122.3374401,47.4782959
2953537,926910,10,2018-09-14,9,2018,375000,1996,0,-122.34356820000001,47.2981443
